"","logFC","logCPM","F","PValue","FDR","Expression"
"STIMATE",-0.0992403792216586,0.870037452676674,0.058649986661865,0.811142448548772,0.916495530123287,"Not DE"
"BMP2",0.0924019157775017,5.38493561719764,0.0586087701194131,0.811207471367572,0.916495530123287,"Not DE"
"ZNF823",0.0685563013758424,1.33693120474715,0.0586005107195119,0.811220504235444,0.916495530123287,"Not DE"
"HSP90AA4P",-0.0825161357801954,0.942839581756409,0.0585654157427766,0.811275893006347,0.916495530123287,"Not DE"
"TSPAN12",-0.101225073866976,1.10759125791312,0.0585574915506445,0.811288401827922,0.916495530123287,"Not DE"
"LANCL1",-0.0345000957428388,5.43881100330695,0.0584182363854075,0.811508371383673,0.916495530123287,"Not DE"
"CFAP300",-0.0570353307520683,1.72863703741227,0.0584007778448219,0.8115359687766,0.916495530123287,"Not DE"
"COQ7",0.0321763790940113,3.06338194990939,0.0582936151926595,0.811705460918666,0.916495530123287,"Not DE"
"ABHD17C",0.0469777082548826,3.77230071587898,0.0582819129556777,0.811723979587925,0.916495530123287,"Not DE"
"IFNE",0.112899457697363,0.145305420244959,0.0582396114256633,0.811790937781525,0.916495530123287,"Not DE"
"SERPINB9P1",-0.189118141821233,2.5474933986271,0.0582247462332502,0.811814473705071,0.916495530123287,"Not DE"
"SCNN1D",-0.113817718301662,0.767110126739856,0.0581754049874957,0.811892618108072,0.916495530123287,"Not DE"
"RFFL",0.0437387998297073,3.23963935705393,0.0581620697168095,0.811913743933106,0.916495530123287,"Not DE"
"CEACAM19",-0.0648741488152206,3.50780392295018,0.0581581148148162,0.811920009809301,0.916495530123287,"Not DE"
"SEC31A",0.0400996146547095,8.67866626235745,0.0581459939263784,0.811939214723859,0.916495530123287,"Not DE"
"TMEM229B",0.0852311622986109,2.06123210874823,0.0581401224989919,0.811948518457343,0.916495530123287,"Not DE"
"AP3B1",0.0335878757566481,6.16337640781509,0.0580572399979147,0.812079905439287,0.916495530123287,"Not DE"
"SNHG20",-0.0655974898284021,1.55648643029164,0.0580347630939183,0.812115553418783,0.916495530123287,"Not DE"
"CRBN",-0.055872053641837,4.20010249952728,0.0580280809761897,0.812126152553556,0.916495530123287,"Not DE"
"SPG7",-0.0330120707077079,6.40548900671367,0.0579668338912522,0.812223332484436,0.916535378383945,"Not DE"
"DLG4",0.0460826755584058,4.83896128468797,0.0578894642769855,0.812346171696409,0.916563832694452,"Not DE"
"RPL3P7",-0.141589321366977,3.91308029875483,0.0578730200525656,0.812372291297297,0.916563832694452,"Not DE"
"NBDY",0.0335249626500601,5.14215430621015,0.057722954253616,0.81261083418051,0.916763148088499,"Not DE"
"RASSF5",0.118426923765207,2.21788602400787,0.0576556551186829,0.812717918917418,0.91678983175255,"Not DE"
"HDAC8",0.0510567667642807,2.49396135721949,0.0576063035001231,0.812796488130756,0.91678983175255,"Not DE"
"ENKD1",0.0805474544246437,1.76463766872925,0.0575914473768717,0.812820146499122,0.91678983175255,"Not DE"
"STAT4",-0.0568664603303238,2.67185825635853,0.0574872783976687,0.812986126501257,0.916861381300478,"Not DE"
"MTCO1P22",-0.105695597573888,0.0029591196714762,0.0574739563541555,0.813007364976582,0.916861381300478,"Not DE"
"TPI1",-0.0468804403430482,8.97795742981079,0.0573916585097798,0.813138625019522,0.916939605011738,"Not DE"
"COPS8",0.0344255122741534,5.59638981751635,0.0573313225963372,0.813234920519805,0.91697270876526,"Not DE"
"SPDL1",0.0638194846695923,3.42721808353593,0.0572957122794153,0.813291779429374,0.91697270876526,"Not DE"
"SBDS",-0.0369208244578975,6.72226108276427,0.0572542286190395,0.813358039916375,0.916977625823529,"Not DE"
"CPPED1",0.0292746363032605,5.60880501842788,0.0571187576207868,0.813574600687393,0.917151761611802,"Not DE"
"NEDD4",0.0483082616986278,5.74329305456886,0.0570801795643567,0.81363632044703,0.917151761611802,"Not DE"
"CRNKL1",0.0367217539306754,4.69161020878104,0.0569680486199458,0.813815840642659,0.917284323463468,"Not DE"
"CREM",0.0353897781357424,3.79857840991698,0.0568731141850132,0.813967975856928,0.917386000787016,"Not DE"
"SNHG5",-0.0470770411628401,6.80656577893111,0.0567849268574421,0.814109419217332,0.917475613258696,"Not DE"
"CDC42BPB",-0.0304773273238496,7.70148397717192,0.0566360805698321,0.814348417483332,0.917675145032563,"Not DE"
"AC097263",-0.124573452696738,1.30049419894785,0.0564318774174526,0.814676842633659,0.917942545028292,"Not DE"
